hrs,cells
0,-0.8580601529101206
0.25,-4.027575953790785
0.5,4.69734304951699
0.75,2.262361788487249
1,-4.641244233647812
1.25,3.4883560842429358
1.5,-2.518183498154322
1.75,2.8012820039036526
2,1.466148323210128
2.25,0.7421150425243332
2.5,0.6171955446216233
2.75,4.200578058898997
3,-0.20182353060863267
3.25,1.73092415456847
3.5,1.6071587878330984
3.75,4.552051821270564
4,1.223107121466953
4.25,4.467678984895217
4.5,1.9886104379846679
4.75,6.290779910852063
5,0.6378704016660213
5.25,11.758505639657042
5.5,3.615157399381431
5.75,0.2340792589979297
6,6.662553463704179
6.25,4.855955807725685
6.5,7.712651226828992
6.75,5.4680666176692645
7,6.238513241420971
7.25,11.981777637900521
7.5,9.412986668891104
7.75,10.023436846196905
8,13.613064175252955
8.25,14.896251350169784
8.5,19.61892643250784
8.75,16.23635352473124
9,15.772636051335752
9.25,23.622243672696
9.5,15.890438726041989
9.75,29.00680067408479
10,26.82664645574968
10.25,32.011084842692426
10.5,29.567437771625237
10.75,30.90760530262638
11,38.67198088345941
11.25,43.72515129386
11.5,39.92175688911144
11.75,47.972202040154755
12,50.82497673897306
12.25,55.2877984471618
12.5,58.41808876550493
12.75,56.937664231384005
13,59.769577930393375
13.25,71.54686817287504
13.5,68.09782727513135
13.75,69.87638451228705
14,69.84391197569776
14.25,71.5920304623204
14.5,79.9324453129575
14.75,80.12536760828132
15,81.90499566143217
15.25,82.87365227122662
15.5,86.66244086754477
15.75,86.58440959655144
16,89.20501013998951
16.25,86.86006282884149
16.5,89.9011711588563
16.75,91.71418449309182
17,91.38930864631294
17.25,92.8416184551705
17.5,94.29251542751929
17.75,94.39833100348928
18,92.993344945236
18.25,94.69280612146353
18.5,93.2472586163236
18.75,95.54086261914145
19,101.04457169942658
19.25,98.06452182727097
19.5,102.47007702915445
19.75,99.40234448679162
20,100.2689503922956
20.25,98.95341991411519
20.5,95.02684639915896
20.75,96.89823556533406
21,96.28043484877725
21.25,101.78252675047098
21.5,100.07361683742671
21.75,96.02985644879334
22,102.20366764787444
22.25,98.24097031804239
22.5,103.26172547351436
22.75,103.27640514466127
23,101.20799932026898
23.25,102.44145916692099
23.5,96.89174219829094
23.75,100.9420671138778
24,102.64937397856198
